City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
308,Klaeng,TH,84.94,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
309,Zhezkazgan,KZ,80.62,47.8043,67.7144,Hotel Zumrat
310,Port Blair,IN,81.34,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
312,Aborlan,PH,78.89,9.4352,118.5492,Kevina Transient House
313,Bom Sucesso,BR,79.43,-21.0331,-44.7581,Hotel Bela Vista
314,Fukuma,JP,80.6,33.7667,130.4667,Masago
320,Ugoofaaru,MV,81.88,5.6667,73.0,Ungoofaaru Inn
323,Denpasar,ID,76.71,-8.65,115.2167,OYO 3156 Hotel Warta 2
328,Kushima,JP,77.83,31.4583,131.2333,Hanaoka
330,Sanarate,GT,80.06,14.795,-90.1922,Colonia Belén
331,Namatanai,PG,78.22,-3.6667,152.4333,Seagulls Inn Namatani
346,Wencheng,CN,77.45,33.0559,113.7978,Ruyi Hostel
347,Tukrah,LY,80.24,32.5341,20.5791,Lagrota restaurant
348,Bandarbeyla,SO,76.24,9.4942,50.8122,JABIR HOTEL
351,Fare,PF,76.37,-16.7,-151.0167,Maitai Lapita Village Huahine
354,Kaseda,JP,79.07,31.4167,130.3167,Sun Stay Kaseda
356,Faanui,PF,77.16,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
359,Sibuco,PH,78.31,7.2911,122.0656,Santa Isabel Beach
362,Narayanpet,IN,76.62,16.7333,77.5,Vasundra tiffins
369,Salalah,OM,77.09,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
376,Trincomalee,LK,79.27,8.5711,81.2335,Welcombe Hotel
388,Fukue,JP,77.16,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
392,San Cristobal,VE,81.79,7.7669,-72.225,Pirineos
408,Maceio,BR,78.24,-9.6658,-35.7353,Hotel Ponta Verde Maceió
412,Makakilo City,US,80.92,21.3469,-158.0858,Marriott's Ko Olina Beach Club
419,Fatehpur,IN,84.09,25.9333,80.8,Hotel Bombay Lodge
